date,latitude,longitude,enginetemp
2015-07-31 07:09:06,43.444950104,-80.54676056,20
2015-07-31 07:09:09,43.44493866,-80.5467453,20
2015-07-31 07:09:12,43.44493866,-80.5467453,20
2015-07-31 07:09:15,43.444927216,-80.54673004,20
2015-07-31 07:09:18,43.444927216,-80.54673004,20
2015-07-31 07:09:21,43.444911957,-80.54671478,20
2015-07-31 07:09:24,43.444911957,-80.54671478,20
2015-07-31 07:09:27,43.444892883,-80.54669189,20
2015-07-31 07:09:30,43.444892883,-80.54669189,20
2015-07-31 07:09:33,43.444881439,-80.54667664,20
2015-07-31 07:09:36,43.444881439,-80.54667664,20
2015-07-31 07:09:40,43.44486618,-80.54666901,20
2015-07-31 07:09:43,43.44486618,-80.54666901,20
2015-07-31 07:09:46,43.444858551,-80.54665375,20
2015-07-31 07:09:49,43.444858551,-80.54665375,20
2015-07-31 07:09:52,43.444850922,-80.54663086,20
2015-07-31 07:09:55,43.444850922,-80.54663086,20
2015-07-31 07:09:58,43.444843292,-80.5466156,20
2015-07-31 07:10:01,43.444843292,-80.5466156,20
2015-07-31 07:10:04,43.444828033,-80.54659271,20
2015-07-31 07:10:07,43.444828033,-80.54659271,20
2015-07-31 07:10:10,43.444824219,-80.54657745,20
2015-07-31 07:10:13,43.444824219,-80.54657745,20
2015-07-31 07:10:16,43.44480896,-80.54656219,20
2015-07-31 07:10:19,43.44480896,-80.54656219,20
2015-07-31 07:10:22,43.444797516,-80.54654694,20
2015-07-31 07:10:26,43.444797516,-80.54654694,20
2015-07-31 07:10:29,43.444782257,-80.54653168,20
2015-07-31 07:10:32,43.444782257,-80.54653168,20
2015-07-31 07:10:35,43.444770813,-80.54651642,20
2015-07-31 07:10:38,43.444770813,-80.54651642,20
2015-07-31 07:10:41,43.444759369,-80.54650116,20
2015-07-31 07:10:44,43.444759369,-80.54650116,20
2015-07-31 07:10:47,43.444747925,-80.54647827,20
2015-07-31 07:10:50,43.444747925,-80.54647827,20
2015-07-31 07:10:53,43.444732666,-80.54646301,20
2015-07-31 07:10:56,43.444732666,-80.54646301,20
2015-07-31 07:10:59,43.444721222,-80.54644775,20
2015-07-31 07:11:02,43.444721222,-80.54644775,20
2015-07-31 07:11:05,43.444717407,-80.54642487,20
2015-07-31 07:11:08,43.444717407,-80.54642487,20
2015-07-31 07:11:11,43.444705963,-80.54640961,20
2015-07-31 07:11:15,43.444705963,-80.54640961,20
2015-07-31 07:11:18,43.444690704,-80.54639435,20
